,portfolio_value
2024-09-12,6158976.120132873
2024-09-13,6185990.708904952
2024-09-16,6161624.651111323
2024-09-17,6151059.78263871
2024-09-18,6142917.497159239
2024-09-19,5927948.800119222
2024-09-20,5913673.50344699
2024-09-23,5961755.145221483
2024-09-24,5962249.8471462075
2024-09-25,5960793.776663616
2024-09-26,5699235.217333704
2024-09-27,5699235.217333704
2024-09-30,5699235.217333704
2024-10-01,5699086.272256171
2024-10-03,5719734.751125671
2024-10-04,5712488.653575353
2024-10-07,5521671.759740605
2024-10-08,5521671.759740605
2024-10-09,5521671.759740605
2024-10-10,5521671.759740605
2024-10-11,5521536.109197507
2024-10-14,5510362.725224374
2024-10-15,5534437.353833655
2024-10-16,5537830.366918184
2024-10-17,5571251.747912152
2024-10-18,5344493.858956206
2024-10-21,5344493.858956206
2024-10-22,5344367.243775638
2024-10-23,5357645.850270581
2024-10-24,5348844.660956181
2024-10-25,5354639.778940216
2024-10-28,5347861.074880248
2024-10-29,5132572.0439153155
2024-10-30,5132572.0439153155
2024-10-31,5132572.0439153155
2024-11-01,5132572.0439153155
2024-11-04,5132572.0439153155
2024-11-05,5132572.0439153155
2024-11-06,5132498.9005649015
2024-11-07,5141288.514336923
2024-11-08,5542630.8325440325
2024-11-11,5542556.261522996
2024-11-12,5546645.993165528
2024-11-13,5593212.248543117
2024-11-14,5571389.694754825
2024-11-18,6002237.888347049
2024-11-19,6034031.421275208
2024-11-21,6039056.386291351
2024-11-22,6010434.747240925
2024-11-25,5833369.441999766
2024-11-26,5833288.12043511
2024-11-27,5839480.080513774
2024-11-28,5848474.971823931
2024-11-29,5819797.50739355
2024-12-02,5829168.860477921
2024-12-03,6117780.32798032
2024-12-04,6149246.268773769
2024-12-05,6488740.3065152615
2024-12-06,6488740.3065152615
2024-12-09,6488740.3065152615
2024-12-10,6488740.3065152615
2024-12-11,6488740.3065152615
2024-12-12,6488659.946714168
2024-12-13,6480600.662230924
2024-12-16,6510981.953486769
2024-12-17,6499410.998518237
2024-12-18,6484184.188480372
2024-12-19,6839298.330264686
2024-12-20,6839298.330264686
2024-12-23,6839220.768858258
2024-12-24,6853836.710465657
2024-12-26,6869543.932212868
2024-12-27,6863701.8836302385
2024-12-30,7303490.281802743
